 BARONESS ZEMO;HEIKE;;;;
 BARRACUDA;;;;;
 BARRAGE;;;;;
 BARRANCO; MARIA ESMERALDA;;;;
 BARRENOS; OMAR;;;;
 BARRIER;;;;;
 BARRINGTON;;;;;
 BARRON; RICK;;;;
 BARROWS; WALTER;;;;
 BARTLETT; STU;;;;
 BARTON; SEN.;;;;
 BARTOS;;;;;
 BASALLO;LAVA MEN KING;;;;
 BASALTAR;;;;;
 BASILISK;BASIL ELKS;;;;
 BASILISK II;;;;;
 BASILISK III;;;;;
 BATAL;;;;;
 BATROC;GEORGES BATROC;;;;
 BATTERING RAM;;;;;
 BATTERY;;;;;
 BATTLE; MONTGOMERY;;;;
 BATTLEAXE;;;;;
 BATTLEAXE II;JEROME HAMILTON (II);;;;
 BATTLESTAR;LEMAR HOSKINS;;;;
 BATWING;;;;;
 BAV-TEK;;;;;
 BAXTER;;;;;
 BAXTER; ABIGAIL;;;;
 BAXTER; NOAH;;;;
 BAYLOR; FRANK;;;;
 BAYMAX;;;;;
 BAZIN; ALLEGRA;;;;
 BAZIN; ANDREW;;;;
 BAZIN; BRODERICK RICK;;;;
 BAZIN; PHILLIPPE;;;;
 BEACH; GINGER;;;;
 BEACH; SPIDER;;;;
 BEALE; ERIC;;;;
 BEAR;;;;;
 BEAST;HENRY &HANK& P. MCCOY ;;;;
 BEAST 2013;;;;;
 BEAST DOPPELGANGER;;;;;
 BEAST DOPPELGANGER II;;;;;
 BEAST DOPPELGANGER III;;;;;
 BEAUMONT; SPENCER;;;;
 BEAUTIFUL DREAMER;;;;;
 BEAUTIFUL DREAMER II;;;;;
 BEAUTY;;;;;
 BECKFORD; NOEL;;;;
 BECKLEY; BENNY;;;;
 BECKMAN; CHARLES;;;;
 BECKMAN; JOSEPH;;;;
 BECKMAN; LISA;;;;
 BECKMAN; SARAH;;;;
 BEDFORD; BRAD HULK;;;;
 BEDLAM;JESSE AARONSON ;;;;
 BEDLAM II;OLISA KABAKI;;;;
 BEEF;;;;;
 BEEFER;;;;;
 BEERE; JASON;;;;
 BEETLE;ABNER RONALD JENKINS;;;;
 BEETLE II;LEILA DAVIS;;;;
 BEETLE ROBOT;;;;;
 BEHEMOTH;;;;;
 BEL-DANN; GEN.;;;;
 BELASCO;;;;;
 BELDAME;;;;;
 BELGRADE; DR. HORATIO;;;;
 BELIAL;;;;;
 BELL; HERBERT;;;;
 BELLADONNA;;;;;
 BELLAM;;;;;
 BELLE;;;;;
 BENAZA;;;;;
 BENCHLEY;;;;;
 BENDIX; DR. ALBERT;;;;
 BENEDICT;;;;;
 BENEDICT; ANDREW;;;;
 BENGAL;;;;;
 BENJAMIN; BYRON;;;;
 BENNETT; DANNY;;;;
 BENNETT; MITCH;;;;
 BENNING; VERONICA;;;;
 BENNY; JAKE;;;;
 BENTLEY; MILES;;;;
 BENTLEY; VICTORIA;;;;
 BENTON; TERRY;;;;
 BENWAY; DR.;;;;
 BERDITCHEV; ITZHAK;;;;
 BEREET;;;;;
 BERENGHETTI; MICHAEL;;;;
 BERENGHETTI; SUSAN;;;;
 BERGER; PROF.;;;;
 BERGIER; REBECCA;;;;
 BERGLUND; GEN.;;;;
 BERKELEY; TRAVIS;;;;
 BERMAN; ADAM;;;;
 BERNARD THE POET;;;;;
 BERNHARD; CLARICE;;;;
 BERNIE;;;;;
 BERNSTEIN; DR. NOAH;;;;
 BERNSTEIN; EMMA WEBSTER;;;;
 BERSERKER;;;;;
 BERSERKER II;;;;;
 BERSERKER III;;;;;
 BERTRAM;;;;;
 BERYL;;;;;
 BERYLLIUM;;;;;
 BETA RAY BILL;;;;;
 BETA RAY BILL ; MUTANT X-VERSE;;;;
 BETELHEIM; NORMA;;;;
 BETTY-6;;;;;
 BEVATRON;;;;;
 BEYNON; DR. BRADLEY;;;;
 BEYONDER;;;;;
 BEYONDER ; MUTANT X-VERSE;;;;
 BI-BEAST;;;;;
 BI-BEAST II;;;;;
 BIANDU;;;;;
 BIG BEN;;;;;
 BIG BERTHA;ASHLEY CRAWFORD;;;;
 BIG CASINO;;;;;
 BIG MAN;FREDERICK FOSWELL;;;;
 BIG ONE;KENJIRO SASAKI;;;;
 BIGGERS; MELVIN;;;;
 BILE;;;;;
 BILLUPS; AGENT;;;;
 BINARY;CAROL DANVERS;;;;
 BINARY ; MUTANT X-VERSE;CAROL DANVERS;;;
 BIOHAZARD;;;;;
 BIOHAZARD II;FLETCHER TRAYNOR;;;;
 BIRD MAN;HENRY HAWK;;;;
 BIRD MAN III;;;;;
 BIRD; TUESDAY;;;;
 BIRDBRAIN;;;;;
 BIRDY;;;;;
 BISHOP ;;;;;
 BISON;BILLY KITSON;;;;
 BITMAP;;;;;
 BIZEN;;;;;
 BLACK AVENGER;JERRY CARSTAIRS;;;;
 BLACK BOLT;BLACKANTOR BOLTAGON [INHUMAN];;;;
 BLACK BOLT ; MUTANT X-VERSE;;;;
 BLACK BRIGADE;;;;;
 BLACK CAT;FELICIA HARDY;;;;
 BLACK CRANE;;;;;
 BLACK CROW;JESSE BLACK CROW;;;;
 BLACK DEATH;DR. IVAN KIVELKI;;;;
 BLACK FOX;ROBERT W. PAINE;;;;
 BLACK FOX II;;;;;
 BLACK GOLIATH;DR. WILLIAM BILL BARRETT FOSTER;;;;
 BLACK HOLE;MORTON KIBBEE;;;;
 BLACK KING;SEBASTIAN SHAW;;;;
 BLACK KING;SEBASTIAN SHAW ; MUTANT X-VERSE;;;
 BLACK KNIGHT;SIR PERCY OF SCANDIA;;;;
 BLACK KNIGHT II;SIR RASTON;;;;
 BLACK KNIGHT III;EOBAR GARRINGTON;;;;
 BLACK KNIGHT IV;PROFESSOR NATHAN GARRETT;;;;
 BLACK KNIGHT V;DANE WHITMAN;;;;
 BLACK KNIGHT IV DOPPELGANGER;;;;;
 BLACK KNIGHT V DOPPELGANGER II;;;;;
 BLACK KNIGHT V STATUE;;;;;
 BLACK KNIGHT VI;PROFESSOR NATHAN GARRETT II;;;;
 BLACK LAMA;;;;;
 BLACK MAMBA;TANYA SEALY;;;;
 BLACK MARIAH;;;;;
 BLACK MARVEL;DAN LYONS;;;;
 BLACK MORAY;;;;;
 BLACK MOUNTAIN;KUROYAMA;;;;
 BLACK PANTHER;T'CHALLA;;;;
 BLACK PANTHER ; MUTANT X-VERSE;;;;
 BLACK RAAZER;;;;;
 BLACK RACER;;;;;
 BLACK RAZER;;;;;
 BLACK SPECTRE;CARSON KNOWLES;;;;
 BLACK TALON;DESMOND DREW;;;;
 BLACK TALON II;SAMUEL DAVID BARONE;;;;
 BLACK TALON III;;;;;
 BLACK TARANTULA;LAMUERTO;;;;
 BLACK TARANTULA II;CARLOS LAMUERTO;;;;
 BLACK TOM CASSIDY;;;;;
 BLACK WIDOW;NATASHA ROMANOVA;;;;
 BLACK WIDOW II;YELENA BELOVA;;;;
 BLACK WIDOW DOPPELGANGER;;;;;
 BLACK WIDOW ; MUTANT X-VERSE;;;;
 BLACK; CAL;;;;
 BLACK; CYRUS;;;;
 BLACK; RACHEL;;;;
 BLACKBALL;;;;;
 BLACKBIRD;;;;;
 BLACKBODY;;;;;
 BLACKHEART;;;;;
 BLACKJACK;;;;;
 BLACKOUT;MARCUS DANIELS;;;;
 BLACKOUT II;;;;;
 BLACKSHEAR; JONAS;;;;
 BLACKWELL;;;;;
 BLACKWING;JOSEPH MANFREDI;;;;
 BLACKWING II;;;;;
 BLACKWOOD; JENNY;;;;
 BLACKWULF;;;;;
 BLADE;;;;;
 BLAIR; CALEY;;;;
 BLAIRE; CARTER;;;;
 BLAKE; BECKY;;;;
 BLAKE; DR. DONALD;;;;
 BLAKE; DR. DONALD (CONSTRUCT);;;;
 BLAKE; EMILY;;;;
 BLAKE; KENT;;;;
 BLANDING; ANDREW;;;;
 BLANDING; HALEY;;;;
 BLANDING; MRS.;;;;
 BLAQUESMITH;;;;;
 BLARE;;;;;
 BLASTAAR;;;;;
 BLASTING CAP;;;;;
 BLAZE; CRAIG;;;;
 BLAZE; EMMA;;;;
 BLAZE; ROXANNE SIMPSON;;;;
 BLAZING SKULL;MARK TODD;;;;
 BLESSING; MORGANA;;;;
 BLIND AL;ALTHEA;;;;
 BLINDSIDE II;BOBBI CHASE;;;;
 BLINK;FERGUSON; CLARICE;;;
 BLISS;;;;;
 BLISS; BONNIE;;;;
 BLISS; MISS;;;;
 BLITZIANA;;;;;
 BLITZKRIEG;;;;;
 BLIZZARD;PROF. GREGOR SHAPANKA;;;;
 BLIZZARD II;DONALD GILL;;;;
 BLOB;FRED J. DUKES;;;;
 BLOCKADE;DEXTER PARISH;;;;
 BLOCKBUSTER;;;;;
 BLOCKBUSTER II;;;;;
 BLOCKBUSTER III;MICHAEL BAER;;;;
 BLOK;;;;;
 BLOKE;MICKEY TORK;;;;
 BLOOD BROTHERS;;;;;
 BLOOD SPIDER;;;;;
 BLOOD WRAITH;SEAN DOLAN;;;;
 BLOOD-TIDE;;;;;
 BLOODAXE;JACKIE LUKUS;;;;
 BLOODHOUND;;;;;
 BLOODLUST;;;;;
 BLOODSHED;WYNDELL DICHINSON;;;;
 BLOODSCREAM;;;;;
 BLOODSTONE;ULYSSES BLOODSTONE;;;;
